Sample	Population	SuperPopulation	isFemale	PurpleHair	CaffeineConsumption
NA18939	JPT	EAS	true	true	9
NA19790	MXL	AMR	true	false	3
NA19372	LWK	AFR	false	true	6
HG04132	BEB	SAS	true	false	9
HG00641	PUR	AMR	true	false	6
HG01946	PEL	AMR	false	true	3
NA20767	TSI	EUR	false	true	3
HG01395	PUR	AMR	false	true	5
NA20772	TSI	EUR	true	false	3
HG01801	CDX	EAS	true	true	7
NA20771	TSI	EUR	true	true	3
HG03431	MSL	AFR	true	true	6
HG04115	STU	SAS	false	true	9
HG00447	CHS	EAS	true	false	3
HG01917	PEL	AMR	false	true	5
NA18520	YRI	AFR	true	false	3
HG03171	ESN	AFR	true	true	3
HG02526	KHV	EAS	true	false	3
HG03203	ESN	AFR	true	true	5
NA18613	CHB	EAS	false	false	9
HG01887	ACB	AFR	false	false	6
NA20298	ASW	AFR	false	true	8
HG01773	IBS	EUR	true	true	5
HG01272	CLM	AMR	true	true	6
HG02235	IBS	EUR	true	true	7
HG03995	STU	SAS	true	false	3
NA19792	MXL	AMR	false	false	6
HG01855	KHV	EAS	true	false	5
HG00867	CDX	EAS	true	false	9
HG01090	PUR	AMR	false	true	5
HG02785	PJL	SAS	true	false	4
HG03115	ESN	AFR	false	false	4
HG01140	CLM	AMR	true	false	7
HG02726	PJL	SAS	true	true	6
NA19726	MXL	AMR	false	false	3
NA19734	MXL	AMR	true	true	7
NA12154	CEU	EUR	false	true	7
NA12830	CEU	EUR	true	true	9
NA18489	YRI	AFR	true	false	5
HG03314	ESN	AFR	false	false	7
HG01462	CLM	AMR	true	false	9
NA20336	ASW	AFR	true	false	6
HG01864	KHV	EAS	false	false	4
NA20535	TSI	EUR	true	false	8
HG01284	CLM	AMR	true	true	9
NA11843	CEU	EUR	false	true	7
HG04047	STU	SAS	true	false	4
HG03556	MSL	AFR	false	false	5
HG00514	CHS	EAS	true	true	4
HG01256	CLM	AMR	false	true	8
HG01871	KHV	EAS	true	true	8
HG01938	PEL	AMR	false	true	6
HG02088	KHV	EAS	false	true	5
HG03468	MSL	AFR	false	false	6
HG02851	GWD	AFR	false	false	6
HG03485	MSL	AFR	true	true	5
NA19902	ASW	AFR	true	true	5
HG01847	KHV	EAS	true	false	9
HG03710	PJL	SAS	false	true	3
NA19247	YRI	AFR	true	true	6
HG01604	IBS	EUR	true	false	6
HG02218	IBS	EUR	true	false	6
HG02002	PEL	AMR	false	false	6
HG03557	MSL	AFR	true	true	3
HG03108	ESN	AFR	true	true	8
NA07031	CEU	EUR	true	true	3
NA10850	CEU	EUR	true	true	3
HG04023	ITU	SAS	false	false	3
NA11882	CEU	EUR	true	true	6
NA19200	YRI	AFR	false	true	5
HG03193	ESN	AFR	false	false	5
HG01504	IBS	EUR	true	true	6
HG02236	IBS	EUR	false	true	9
HG00178	FIN	EUR	true	false	8
HG02768	GWD	AFR	false	true	6
HG02180	CDX	EAS	true	false	7
NA20414	ASW	AFR	true	true	8
HG01252	CLM	AMR	false	true	6
HG01506	IBS	EUR	false	false	5
HG02886	GWD	AFR	true	true	3
NA18943	JPT	EAS	false	false	7
NA12275	CEU	EUR	true	true	9
HG03789	ITU	SAS	true	true	7
HG03822	BEB	SAS	false	false	3
HG03920	BEB	SAS	false	false	3
HG02587	GWD	AFR	true	true	4
HG02512	KHV	EAS	false	false	6
HG03714	ITU	SAS	true	true	6
NA18553	CHB	EAS	true	true	6
HG01510	IBS	EUR	true	true	4
HG00634	CHS	EAS	false	true	7
HG00866	CDX	EAS	false	false	8
HG00477	CHS	EAS	false	false	3
HG00766	CDX	EAS	true	true	5
HG00581	CHS	EAS	true	false	8
NA19131	YRI	AFR	true	false	6
HG02484	ACB	AFR	false	true	9
HG00501	CHS	EAS	true	false	7
HG01668	IBS	EUR	true	true	7
NA20831	TSI	EUR	false	false	9
HG00114	GBR	EUR	false	true	4
HG00240	GBR	EUR	true	false	8
HG03713	ITU	SAS	false	false	8
HG03919	BEB	SAS	true	true	4
NA19656	MXL	AMR	true	false	7
NA21100	GIH	SAS	false	false	3
HG02293	PEL	AMR	true	true	3
HG03162	ESN	AFR	true	true	4
HG03863	ITU	SAS	true	false	8
HG00437	CHS	EAS	true	false	8
HG01058	PUR	AMR	true	false	6
NA19681	MXL	AMR	true	true	4
NA20849	GIH	SAS	true	true	9
HG04148	BEB	SAS	true	false	8
NA18620	CHB	EAS	false	true	5
HG00108	GBR	EUR	false	false	10
HG01071	PUR	AMR	true	true	7
NA18631	CHB	EAS	true	false	6
NA19327	LWK	AFR	true	true	3
HG01496	CLM	AMR	true	true	6
NA11832	CEU	EUR	true	true	7
HG04141	BEB	SAS	true	true	6
NA20858	GIH	SAS	false	true	5
NA18966	JPT	EAS	false	true	9
HG02787	PJL	SAS	true	true	9
NA19254	YRI	AFR	true	false	5
HG03641	PJL	SAS	false	true	3
NA18526	CHB	EAS	true	false	7
NA19701	ASW	AFR	true	false	3
NA20518	TSI	EUR	false	false	8
HG02131	KHV	EAS	false	false	5
NA12005	CEU	EUR	false	true	7
HG01860	KHV	EAS	false	false	7
HG03704	PJL	SAS	true	true	8
NA20862	GIH	SAS	true	true	5
HG02701	PJL	SAS	false	true	6
NA19076	JPT	EAS	false	false	3
HG00553	PUR	AMR	false	true	8
HG00592	CHS	EAS	false	false	4
HG01947	PEL	AMR	false	true	9
HG03473	MSL	AFR	true	true	4
HG03803	BEB	SAS	false	false	5
NA20905	GIH	SAS	false	true	5
NA19209	YRI	AFR	true	false	4
HG02731	PJL	SAS	true	true	6
NA19235	YRI	AFR	true	false	7
HG00552	PUR	AMR	false	true	8
HG01099	PUR	AMR	false	true	6
HG03967	ITU	SAS	false	false	3
NA19795	MXL	AMR	false	false	6
HG01874	KHV	EAS	true	false	5
HG00269	FIN	EUR	true	true	7
NA20356	ASW	AFR	false	false	6
NA20805	TSI	EUR	false	true	6
NA11995	CEU	EUR	true	false	5
HG02555	ACB	AFR	true	true	8
HG03432	MSL	AFR	false	false	6
NA12413	CEU	EUR	false	false	4
NA12828	CEU	EUR	true	false	6
NA19752	MXL	AMR	true	true	4
HG02634	GWD	AFR	false	true	8
HG02683	PJL	SAS	true	false	5
HG03383	MSL	AFR	true	true	6
HG02771	GWD	AFR	false	true	9
HG02698	PJL	SAS	false	true	8
NA18949	JPT	EAS	true	true	5
HG02463	GWD	AFR	false	true	4
NA19226	YRI	AFR	false	true	3
HG03684	STU	SAS	true	false	9
HG00544	CHS	EAS	true	false	4
HG03160	ESN	AFR	false	false	9
HG01149	CLM	AMR	true	false	3
HG03604	BEB	SAS	true	false	4
HG00153	GBR	EUR	true	false	9
HG03976	ITU	SAS	false	false	7
NA20516	TSI	EUR	false	true	9
NA19985	ASW	AFR	true	false	6
HG02429	ACB	AFR	false	false	6
HG00610	CHS	EAS	false	true	7
HG04039	STU	SAS	false	false	3
NA19311	LWK	AFR	false	true	6
NA20778	TSI	EUR	false	false	4
HG02074	KHV	EAS	false	true	6
NA20816	TSI	EUR	false	false	6
HG02970	ESN	AFR	true	false	7
HG04144	BEB	SAS	true	false	9
NA18795	CHB	EAS	true	false	4
HG02401	CDX	EAS	false	false	8
NA12865	CEU	EUR	true	true	8
NA18873	YRI	AFR	true	false	9
HG03943	STU	SAS	false	true	5
HG01473	CLM	AMR	false	false	7
HG03563	MSL	AFR	true	true	8
HG01104	PUR	AMR	false	true	7
NA18858	YRI	AFR	true	false	8
HG02433	ACB	AFR	false	true	5
NA20752	TSI	EUR	false	false	5
HG00577	CHS	EAS	false	false	9
NA11830	CEU	EUR	true	true	6
HG01987	ACB	AFR	false	true	6
NA20802	TSI	EUR	true	false	4
HG03890	STU	SAS	false	false	6
NA19100	YRI	AFR	true	false	4
NA19000	JPT	EAS	false	true	6
HG01949	PEL	AMR	true	false	6
HG03950	STU	SAS	false	false	5
HG01677	IBS	EUR	true	true	3
NA06991	CEU	EUR	true	false	8
NA19031	LWK	AFR	false	false	5
NA20344	ASW	AFR	true	true	7
HG02120	KHV	EAS	false	true	5
HG03690	STU	SAS	true	true	9
HG02630	GWD	AFR	true	true	6
HG02979	ESN	AFR	true	true	5
HG02051	ACB	AFR	false	false	6
HG00685	CHS	EAS	false	true	5
HG03649	PJL	SAS	false	true	3
NA20870	GIH	SAS	false	true	9
NA18645	CHB	EAS	false	false	9
NA20909	GIH	SAS	false	false	7
HG02983	GWD	AFR	true	false	9
HG03382	MSL	AFR	false	true	4
HG01601	IBS	EUR	false	false	7
NA19431	LWK	AFR	true	true	5
NA18960	JPT	EAS	false	true	8
HG00248	GBR	EUR	true	false	5
HG00118	GBR	EUR	true	false	8
NA19027	LWK	AFR	false	true	5
NA19252	YRI	AFR	false	false	3
HG03366	ESN	AFR	true	false	8
HG00152	GBR	EUR	false	false	7
HG00662	CHS	EAS	false	true	7
HG01046	CDX	EAS	true	false	5
NA18498	YRI	AFR	false	false	5
HG03469	MSL	AFR	false	true	5
NA18570	CHB	EAS	true	false	5
HG02941	ESN	AFR	false	false	7
HG03489	PJL	SAS	false	false	4
HG03298	ESN	AFR	false	false	4
NA18862	YRI	AFR	false	false	7
HG03199	ESN	AFR	false	true	3
HG03786	ITU	SAS	false	true	8
HG00256	GBR	EUR	false	true	9
HG01606	IBS	EUR	false	false	7
NA19779	MXL	AMR	true	true	6
HG01748	IBS	EUR	false	false	8
HG03917	BEB	SAS	false	false	3
NA12716	CEU	EUR	false	false	3
NA18643	CHB	EAS	false	false	9
HG02523	KHV	EAS	true	true	6
HG02624	GWD	AFR	true	true	5
HG01377	CLM	AMR	false	false	6
HG02562	GWD	AFR	true	false	7
HG00327	FIN	EUR	true	false	4
HG01098	PUR	AMR	true	false	3
HG00730	CHS	EAS	true	false	9
NA20360	ASW	AFR	false	true	8
HG02015	KHV	EAS	false	false	3
HG02786	PJL	SAS	false	false	5
HG03351	ESN	AFR	true	false	7
NA19143	YRI	AFR	true	true	8
NA19249	YRI	AFR	false	false	9
NA12749	CEU	EUR	true	false	4
HG02675	GWD	AFR	false	true	9
HG00128	GBR	EUR	true	true	7
NA19003	JPT	EAS	true	true	7
HG03743	STU	SAS	false	true	9
HG01398	PUR	AMR	false	true	9
NA19444	LWK	AFR	false	true	9
HG01550	CLM	AMR	false	false	8
HG01881	ACB	AFR	true	true	7
HG00246	GBR	EUR	false	false	9
HG00851	CDX	EAS	true	false	7
NA19128	YRI	AFR	false	false	8
NA19737	MXL	AMR	true	true	9
HG02582	GWD	AFR	false	false	6
HG03238	PJL	SAS	true	true	4
HG03700	PJL	SAS	true	false	8
HG03116	ESN	AFR	true	true	8
NA19440	LWK	AFR	true	true	6
NA12057	CEU	EUR	true	true	4
NA19456	LWK	AFR	true	false	9
HG03969	ITU	SAS	false	false	9
NA20775	TSI	EUR	true	false	8
HG02852	GWD	AFR	true	true	9
HG00734	PUR	AMR	true	false	8
HG03124	ESN	AFR	false	true	8
HG03871	ITU	SAS	false	false	6
NA18871	YRI	AFR	false	false	4
HG01521	IBS	EUR	false	true	9
HG00595	CHS	EAS	false	true	4
NA18864	YRI	AFR	true	false	7
HG01678	IBS	EUR	false	true	6
HG02073	KHV	EAS	false	true	5
HG02569	GWD	AFR	false	false	4
HG04174	BEB	SAS	true	false	5
NA19468	LWK	AFR	true	true	5
NA21110	GIH	SAS	true	true	9
NA21142	GIH	SAS	true	true	7
HG03247	GWD	AFR	true	false	3
NA20347	ASW	AFR	false	true	4
NA21092	GIH	SAS	false	true	3
HG01528	IBS	EUR	true	true	8
HG02372	CDX	EAS	false	false	7
HG02439	ACB	AFR	false	false	7
HG04118	ITU	SAS	true	false	6
HG02050	KHV	EAS	false	true	8
HG03772	ITU	SAS	true	true	4
HG02659	PJL	SAS	true	false	6
HG03572	MSL	AFR	true	true	3
NA18621	CHB	EAS	false	true	3
NA18977	JPT	EAS	false	false	3
NA19732	MXL	AMR	false	true	8
HG01447	CLM	AMR	true	true	7
HG02105	PEL	AMR	true	true	9
HG00978	CDX	EAS	true	false	9
HG02623	GWD	AFR	false	false	3
HG03599	BEB	SAS	true	false	8
HG03850	STU	SAS	false	false	6
HG00187	FIN	EUR	false	false	3
HG00558	CHS	EAS	true	true	4
NA21114	GIH	SAS	false	true	5
HG02684	PJL	SAS	false	false	5
HG03948	STU	SAS	true	true	8
NA12383	CEU	EUR	true	false	9
NA19448	LWK	AFR	false	false	9
HG03731	ITU	SAS	true	true	8
NA19001	JPT	EAS	true	false	8
HG03653	PJL	SAS	true	true	8
HG03634	PJL	SAS	true	false	6
NA19682	MXL	AMR	false	false	4
HG03835	STU	SAS	true	false	8
NA20798	TSI	EUR	false	true	4
NA19176	YRI	AFR	true	true	5
HG02138	KHV	EAS	false	true	7
HG02155	CDX	EAS	true	false	8
HG03978	ITU	SAS	false	false	6
HG01624	IBS	EUR	false	true	8
HG00651	CHS	EAS	true	false	6
HG02449	ACB	AFR	false	true	6
HG00382	FIN	EUR	false	false	7
HG01123	CLM	AMR	true	true	9
HG01178	PUR	AMR	false	false	4
NA18627	CHB	EAS	true	true	8
HG03113	ESN	AFR	true	false	7
NA20871	GIH	SAS	false	false	9
HG03248	GWD	AFR	false	true	9
HG03065	MSL	AFR	false	false	9
HG03740	STU	SAS	false	true	6
HG02322	ACB	AFR	true	false	6
HG01171	PUR	AMR	true	true	8
HG03977	ITU	SAS	true	true	8
NA18624	CHB	EAS	false	false	8
HG03363	ESN	AFR	true	false	6
HG01111	PUR	AMR	true	false	5
NA19009	JPT	EAS	false	true	9
HG02152	CDX	EAS	true	true	8
HG02303	PEL	AMR	true	true	6
HG00139	GBR	EUR	false	true	7
HG04128	BEB	SAS	false	true	3
NA10838	CEU	EUR	false	true	8
NA18628	CHB	EAS	true	true	9
HG03884	STU	SAS	true	true	6
HG01770	IBS	EUR	true	false	6
NA12264	CEU	EUR	false	true	5
HG02287	PEL	AMR	true	false	7
HG00355	FIN	EUR	true	false	8
HG00181	FIN	EUR	false	true	9
HG02541	ACB	AFR	false	true	7
HG03493	ESN	AFR	true	true	8
HG02363	CDX	EAS	false	false	8
HG01867	KHV	EAS	false	false	6
HG02939	ESN	AFR	false	false	5
HG03680	STU	SAS	false	false	3
HG03763	PJL	SAS	false	false	5
NA19038	LWK	AFR	true	true	9
HG01493	CLM	AMR	true	false	8
HG03858	STU	SAS	true	true	4
HG03721	ITU	SAS	true	false	3
HG00537	CHS	EAS	true	false	9
HG00330	FIN	EUR	true	true	3
HG03829	BEB	SAS	true	false	4
NA07055	CEU	EUR	true	true	9
HG03617	BEB	SAS	true	true	9
HG02586	GWD	AFR	true	true	6
HG03302	ESN	AFR	false	false	8
HG00123	GBR	EUR	true	true	7
HG03629	PJL	SAS	false	true	5
HG01579	PEL	AMR	false	true	7
NA18517	YRI	AFR	true	true	3
NA18997	JPT	EAS	true	true	8
HG00183	FIN	EUR	false	false	3
HG03930	BEB	SAS	true	false	9
HG03084	MSL	AFR	false	true	8
HG03111	ESN	AFR	true	true	6
HG03701	PJL	SAS	false	true	3
HG04059	ITU	SAS	true	true	7
HG00533	CHS	EAS	false	false	8
HG01632	IBS	EUR	true	false	8
HG01784	IBS	EUR	true	true	5
HG01243	PUR	AMR	false	false	8
NA18640	CHB	EAS	true	true	5
HG03518	ESN	AFR	false	false	5
NA12043	CEU	EUR	false	true	4
NA19012	JPT	EAS	false	false	7
NA19177	YRI	AFR	false	true	9
HG03006	BEB	SAS	false	false	4
NA19198	YRI	AFR	false	true	3
NA19328	LWK	AFR	true	true	5
HG01274	CLM	AMR	false	false	8
NA20872	GIH	SAS	true	true	7
HG02492	PJL	SAS	false	false	4
NA20530	TSI	EUR	true	true	4
NA19129	YRI	AFR	true	false	9
NA20363	ASW	AFR	true	true	3
HG00624	CHS	EAS	false	false	3
NA20803	TSI	EUR	false	false	8
NA20278	ASW	AFR	false	false	9
NA19836	ASW	AFR	true	false	4
HG02013	ACB	AFR	false	true	7
HG01176	PUR	AMR	false	false	8
NA20753	TSI	EUR	true	true	3
HG01811	CDX	EAS	false	false	5
HG03867	ITU	SAS	false	false	6
NA18941	JPT	EAS	true	false	8
HG03073	MSL	AFR	true	false	4
HG01490	CLM	AMR	true	true	8
HG01794	CDX	EAS	true	true	9
NA19828	ASW	AFR	false	true	9
HG01850	KHV	EAS	true	true	5
HG02317	ACB	AFR	false	true	8
HG01242	PUR	AMR	true	true	6
HG00655	CHS	EAS	true	true	4
HG02279	PEL	AMR	false	true	7
NA12766	CEU	EUR	false	false	9
HG01517	IBS	EUR	true	false	3
HG02780	PJL	SAS	false	false	6
NA19683	MXL	AMR	true	false	8
HG02945	ESN	AFR	true	false	5
NA19982	ASW	AFR	false	false	4
HG01351	CLM	AMR	true	true	7
HG01068	PUR	AMR	true	true	5
NA19920	ASW	AFR	false	false	4
HG02884	GWD	AFR	false	true	9
HG03821	BEB	SAS	false	false	8
NA20792	TSI	EUR	false	false	5
HG03198	ESN	AFR	true	false	3
HG00362	FIN	EUR	true	true	7
NA18856	YRI	AFR	false	true	6
NA12829	CEU	EUR	false	true	5
HG03947	STU	SAS	true	true	8
HG04212	ITU	SAS	true	true	4
HG00117	GBR	EUR	false	true	9
HG02696	PJL	SAS	false	false	6
NA20540	TSI	EUR	true	false	6
NA20808	TSI	EUR	true	false	9
NA20277	ASW	AFR	true	false	7
HG00555	PUR	AMR	true	true	3
NA18602	CHB	EAS	true	true	6
HG00174	FIN	EUR	true	true	6
HG00594	CHS	EAS	false	false	9
HG02148	PEL	AMR	true	true	6
HG01135	CLM	AMR	false	false	8
HG02817	GWD	AFR	true	false	5
HG03861	ITU	SAS	true	true	8
NA19901	ASW	AFR	true	true	6
HG04024	ITU	SAS	true	true	6
HG02087	KHV	EAS	true	true	8
HG01389	CLM	AMR	false	false	6
NA19221	YRI	AFR	true	false	3
HG00271	FIN	EUR	false	false	8
HG02721	GWD	AFR	false	true	8
HG00640	PUR	AMR	false	false	8
NA19916	ASW	AFR	false	true	4
HG04063	ITU	SAS	true	false	8
NA18641	CHB	EAS	true	false	3
HG03393	MSL	AFR	true	true	4
HG00881	CDX	EAS	false	false	8
NA11881	CEU	EUR	false	true	3
NA19205	YRI	AFR	false	false	3
HG02776	PJL	SAS	true	true	4
HG03033	GWD	AFR	false	false	9
HG01804	CDX	EAS	true	true	4
NA12335	CEU	EUR	false	true	3
NA21124	GIH	SAS	false	true	4
HG00325	FIN	EUR	false	true	8
NA18757	CHB	EAS	false	false	7
NA18999	JPT	EAS	true	false	6
NA19324	LWK	AFR	true	true	6
NA10840	CEU	EUR	true	false	5
HG01248	PUR	AMR	true	true	6
HG03079	MSL	AFR	true	false	5
HG00446	CHS	EAS	true	true	7
HG02009	ACB	AFR	false	true	6
HG03408	MSL	AFR	false	true	8
HG03123	ESN	AFR	true	false	7
NA19648	MXL	AMR	true	true	8
NA18971	JPT	EAS	false	true	4
HG00403	CHS	EAS	false	false	4
HG01941	PEL	AMR	false	false	4
HG02759	GWD	AFR	false	true	8
NA20582	TSI	EUR	true	true	7
HG01896	ACB	AFR	true	true	7
HG04056	ITU	SAS	false	true	9
HG01583	PJL	SAS	false	true	5
HG01699	IBS	EUR	false	false	9
NA18961	JPT	EAS	false	false	3
HG04096	ITU	SAS	false	false	3
HG01109	PUR	AMR	false	true	6
HG03109	ESN	AFR	false	false	7
HG02841	GWD	AFR	true	true	6
HG02642	GWD	AFR	false	false	6
NA18859	YRI	AFR	false	true	9
NA12815	CEU	EUR	true	false	3
HG04036	STU	SAS	true	false	5
HG03998	STU	SAS	false	true	9
HG01915	ACB	AFR	true	true	8
HG02772	GWD	AFR	true	true	7
NA19655	MXL	AMR	false	true	8
HG01679	IBS	EUR	true	true	7
HG00458	CHS	EAS	true	false	8
HG02082	KHV	EAS	false	false	6
HG00377	FIN	EUR	true	true	8
HG02176	CDX	EAS	true	false	3
HG03267	ESN	AFR	true	true	9
HG01552	CLM	AMR	false	true	6
HG02253	PEL	AMR	false	false	9
NA20589	TSI	EUR	true	false	8
HG00367	FIN	EUR	true	false	8
HG00182	FIN	EUR	false	false	9
HG03685	STU	SAS	false	false	7
NA12004	CEU	EUR	true	false	5
HG01708	IBS	EUR	false	false	8
HG01465	CLM	AMR	true	false	7
HG03602	BEB	SAS	false	false	4
HG03159	ESN	AFR	true	false	8
HG02385	CDX	EAS	false	true	6
HG00582	CHS	EAS	true	false	4
HG03249	GWD	AFR	false	false	7
NA20896	GIH	SAS	true	true	9
